"filename", "language", "HTML", "CSS", "JavaScript", "JSON", "Firebase Rules", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\aV31whJvauTWgGJguWDO.html", "HTML", 417, 0, 0, 0, 0, 0, 0, 56, 3, 476
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\dMeE1tAwy3HhZ2kzuU2Q.html", "HTML", 417, 0, 0, 0, 0, 0, 0, 56, 3, 476
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\eas8a5ibEXCpOF3s4p2n.html", "HTML", 417, 0, 0, 0, 0, 0, 0, 56, 3, 476
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\js\price.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 46, 29, 160
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\kSSbTL7wgoT1sMr31q3J.html", "HTML", 417, 0, 0, 0, 0, 0, 0, 56, 3, 476
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\kbu4BdauMfR0ZjDLmBg2.html", "HTML", 483, 0, 0, 0, 0, 0, 0, 65, 3, 551
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\mnAroUrCpZgQMceKKs4L.html", "HTML", 417, 0, 0, 0, 0, 0, 0, 56, 3, 476
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\nFGYh45SVhBL8PiD8SVq.html", "HTML", 465, 0, 0, 0, 0, 0, 0, 74, 3, 542
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\njvOIvPEtS3oVx3cvGNc.html", "HTML", 471, 0, 0, 0, 0, 0, 0, 74, 3, 548
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\pQ3zSpRem5aGbr8JqcWC.html", "HTML", 483, 0, 0, 0, 0, 0, 0, 65, 3, 551
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\pXly0d1kclbnnIbTnHpO.html", "HTML", 495, 0, 0, 0, 0, 0, 0, 65, 3, 563
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\all css\bootstrap.min.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 6, 2, 12
