"filename", "language", "JavaScript", "HTML", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\itemL3.html", "HTML", 0, 281, 0, 0, 0, 3, 26, 310
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\itemL4.html", "HTML", 0, 271, 0, 0, 0, 3, 25, 299
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\itemL5.html", "HTML", 0, 248, 0, 0, 0, 3, 24, 275
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\itemL6.html", "HTML", 0, 274, 0, 0, 0, 3, 24, 301
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\itemL7.html", "HTML", 0, 279, 0, 0, 0, 3, 24, 306
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\itemL8.html", "HTML", 0, 304, 0, 0, 0, 3, 26, 333
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\js\app.js", "JavaScript", 1, 0, 0, 0, 0, 1, 1, 3
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\js\flickity.pkgd.min.js", "JavaScript", 8, 0, 0, 0, 0, 48, 0, 56
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\lightslider.css", "CSS", 0, 0, 350, 0, 0, 16, 26, 392
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\lightslider.js", "JavaScript", 1102, 0, 0, 0, 0, 11, 28, 1141
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\login\login.css", "CSS", 0, 0, 180, 0, 0, 255, 92, 527
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\login\login.html", "HTML", 0, 55, 0, 0, 0, 27, 17, 99
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\login\login.js", "JavaScript", 17, 0, 0, 0, 0, 6, 11, 34
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\login\otp.js", "JavaScript", 95, 0, 0, 0, 0, 12, 21, 128
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\main.js", "JavaScript", 17, 0, 0, 0, 0, 13, 14, 44
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\product.html", "HTML", 0, 364, 0, 0, 0, 2, 30, 396
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\rufe.html", "HTML", 0, 0, 0, 0, 0, 59, 0, 59
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\ryzen.html", "HTML", 0, 217, 0, 0, 0, 8, 21, 246
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\style.css", "CSS", 0, 0, 2287, 0, 0, 174, 540, 3001
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\style1.css", "CSS", 0, 0, 713, 0, 0, 15, 164, 892
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\try.css", "CSS", 0, 0, 45, 0, 0, 1, 0, 46
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\try.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\try.js", "JavaScript", 5, 0, 0, 0, 0, 1, 0, 6
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\try2.css", "CSS", 0, 0, 191, 0, 0, 5, 15, 211
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\try2.html", "HTML", 0, 59, 0, 0, 0, 0, 3, 62
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\tryle.css", "CSS", 0, 0, 57, 0, 0, 0, 9, 66
"Total", "-", 4656, 8687, 8749, 8, 12, 1927, 4564, 28603
